|<|<=|>|>=|=|<>|+|-|OR|XOR|*|/|DIV|MOD|AND|SHL|SHR|(|)|NOT|ID|NUM|FLOAT_NUM|STRING|FUNCTION|:|;|VAR|,|LONGINT|BOOLEAN|DOUBLE|BEGIN|END|:=|$|SS|E|opR|A|opB|B|opC|C|S|FUN|V|K|P|IL|T|L|BEG|X|Y|M
0|||||||||||||||||||||||||s3||||||||||||||||||||1|2||||||||||
1||||||||||||||||||||||||||||||||||||acc||||||||||||||||||||
2||||||||||||||||||||||||||||s7|||||s6||||||||||||||5||||||4|||
79|r28|r28|r28|r28|r28|r28|r28|r28|r28|r28|r28|r28|r28|r28|r28|r28|r28||r28|||||||||||||||||||||||||||||||||||||
80|r29|r29|r29|r29|r29|r29|r29|r29|r29|r29|r29|r29|r29|r29|r29|r29|r29||r29|||||||||||||||||||||||||||||||||||||
81|r30|r30|r30|r30|r30|r30|r30|r30|r30|r30|r30|r30|r30|r30|r30|r30|r30||r30|||||||||||||||||||||||||||||||||||||
82|r31|r31|r31|r31|r31|r31|r31|r31|r31|r31|r31|r31|r31|r31|r31|r31|r31||r31|||||||||||||||||||||||||||||||||||||
83|r25|r25|r25|r25|r25|r25|r25|r25|r25|r25|r25|r25|r25|r25|r25|r25|r25||||||||||r25|||||||r25||||||||||||||||||||||
84|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26||||||||||r26|||||||r26||||||||||||||||||||||
85|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27||||||||||r27|||||||r27||||||||||||||||||||||
86||||||||||||||||||||||||||||||s44|s45|s46|||||||||||||||||||113|||||
87|||||||||||||||||||r44|||||||||||||||||||||||||||||||||||||
88|||||||||||||||||||r38||||||||r38|||||||||||||||||||||||||||||
89|||||||||||||||||||r41||||||||r41|||||||||||||||||||||||||||||
90|||||||||||||||||||r42||||||||r42|||||||||||||||||||||||||||||
91|||||||||||||||||||r43||||||||r43|||||||||||||||||||||||||||||
92|||||||s59|s60|s61|s62|||||||||||||||||r2|||||||r2|||||||114|||||||||||||||
93|||||||r10|r10|r10|r10|s64|s65|s66|s67|s68|s69|s70||||||||||r10|||||||r10|||||||||115|||||||||||||
94|||||||r16|r16|r16|r16|r16|r16|r16|r16|r16|r16|r16||||||||||r16|||||||r16||||||||||||||||||||||
95|||||||s77|s76||||||||||s75||s78|s79|s80|s81|s82||||||||||||||116||72||73||74||||||||||||
96|||||||s97|s96||||||||||s95||s98|s99|s100|s101|s102||||||||||||||||||||117||||||||||||
97|||||||s97|s96||||||||||s95||s98|s99|s100|s101|s102||||||||||||||||||||118||||||||||||
98|||||||s97|s96||||||||||s95||s98|s99|s100|s101|s102||||||||||||||||||||119||||||||||||
99|||||||r28|r28|r28|r28|r28|r28|r28|r28|r28|r28|r28||||||||||r28|||||||r28||||||||||||||||||||||
