|<|<=|>|>=|=|<>|+|-|OR|XOR|*|/|DIV|MOD|AND|SHL|SHR|(|)|NOT|ID|NUM|FLOAT_NUM|STRING|FUNCTION|:|;|VAR|VAZIO|,|LONGINT|BOOLEAN|DOUBLE|BEGIN|END|:=|$|SS|E|opR|A|opB|B|opC|C|S|FUN|V|K|P|IL|T|L|BEG|X|Y|M
70|||||||r17|r17||||||||||r17||r17|r17|r17|r17|r17|||||||||||||||||||||||||||||||||
71|||||||r18|r18||||||||||r18||r18|r18|r18|r18|r18|||||||||||||||||||||||||||||||||
72|||||||r19|r19||||||||||r19||r19|r19|r19|r19|r19|||||||||||||||||||||||||||||||||
73|||||||r20|r20||||||||||r20||r20|r20|r20|r20|r20|||||||||||||||||||||||||||||||||
74|||||||r21|r21||||||||||r21||r21|r21|r21|r21|r21|||||||||||||||||||||||||||||||||
75|||||||r22|r22||||||||||r22||r22|r22|r22|r22|r22|||||||||||||||||||||||||||||||||
76|||||||r23|r23||||||||||r23||r23|r23|r23|r23|r23|||||||||||||||||||||||||||||||||
77|||||||||||||||||||s106||||||||||||||||||||||||||||||||||||||
78|s59|s60|s61|s62|s63|s64|s65|s66|s67|s68|||||||||r1|||||||||||||||||||||107||108|||||||||||||||
79|r10|r10|r10|r10|r10|r10|r10|r10|r10|r10|s70|s71|s72|s73|s74|s75|s76||r10|||||||||||||||||||||||||109|||||||||||||
80|r16|r16|r16|r16|r16|r16|r16|r16|r16|r16|r16|r16|r16|r16|r16|r16|r16||r16||||||||||||||||||||||||||||||||||||||
81|||||||s83|s82||||||||||s81||s84|s85|s86|s87|s88|||||||||||||||110||78||79||80||||||||||||
82|||||||s83|s82||||||||||s81||s84|s85|s86|s87|s88|||||||||||||||||||||111||||||||||||
83|||||||s83|s82||||||||||s81||s84|s85|s86|s87|s88|||||||||||||||||||||112||||||||||||
84|||||||s83|s82||||||||||s81||s84|s85|s86|s87|s88|||||||||||||||||||||113||||||||||||
85|r28|r28|r28|r28|r28|r28|r28|r28|r28|r28|r28|r28|r28|r28|r28|r28|r28||r28||||||||||||||||||||||||||||||||||||||
86|r29|r29|r29|r29|r29|r29|r29|r29|r29|r29|r29|r29|r29|r29|r29|r29|r29||r29||||||||||||||||||||||||||||||||||||||
87|r30|r30|r30|r30|r30|r30|r30|r30|r30|r30|r30|r30|r30|r30|r30|r30|r30||r30||||||||||||||||||||||||||||||||||||||
88|r31|r31|r31|r31|r31|r31|r31|r31|r31|r31|r31|r31|r31|r31|r31|r31|r31||r31||||||||||||||||||||||||||||||||||||||
89|r25|r25|r25|r25|r25|r25|r25|r25|r25|r25|r25|r25|r25|r25|r25|r25|r25||||||||||r25||||||||r25||||||||||||||||||||||
90|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26||||||||||r26||||||||r26||||||||||||||||||||||
91|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27||||||||||r27||||||||r27||||||||||||||||||||||
92|||||||||||||||||||||||||||s114||||||||||||||||||||||||||||||
93|||||||s65|s66|s67|s68|||||||||||||||||r2||||||||r2|||||||115|||||||||||||||
94|||||||r10|r10|r10|r10|s70|s71|s72|s73|s74|s75|s76||||||||||r10||||||||r10|||||||||116|||||||||||||
95|||||||r16|r16|r16|r16|r16|r16|r16|r16|r16|r16|r16||||||||||r16||||||||r16||||||||||||||||||||||
96|||||||s83|s82||||||||||s81||s84|s85|s86|s87|s88|||||||||||||||117||78||79||80||||||||||||
97|||||||s98|s97||||||||||s96||s99|s100|s101|s102|s103|||||||||||||||||||||118||||||||||||
98|||||||s98|s97||||||||||s96||s99|s100|s101|s102|s103|||||||||||||||||||||119||||||||||||
99|||||||s98|s97||||||||||s96||s99|s100|s101|s102|s103|||||||||||||||||||||120||||||||||||
100|||||||r28|r28|r28|r28|r28|r28|r28|r28|r28|r28|r28||||||||||r28||||||||r28||||||||||||||||||||||
101|||||||r29|r29|r29|r29|r29|r29|r29|r29|r29|r29|r29||||||||||r29||||||||r29||||||||||||||||||||||
102|||||||r30|r30|r30|r30|r30|r30|r30|r30|r30|r30|r30||||||||||r30||||||||r30||||||||||||||||||||||
103|||||||r31|r31|r31|r31|r31|r31|r31|r31|r31|r31|r31||||||||||r31||||||||r31||||||||||||||||||||||
