56 31
$ < <= > >= = <> In Is + - Or Xor * / Div Mod And Shl Shr As ( ) Not a $ S' E S T F
0	.	.	.	.	.	.	.	.	.	s7	s8	.	.	.	.	.	.	.	.	.	.	s5	.	s6	s9	.	.	1	2	3	4
43	r10	r10	r10	r10	r10	r10	r10	r10	r10	r10	r10	r10	r10	s23	s24	s25	s26	s27	s28	s29	s30	.	r10	.	.	r10	.	.	.	.	.
44	r11	r11	r11	r11	r11	r11	r11	r11	r11	r11	r11	r11	r11	s23	s24	s25	s26	s27	s28	s29	s30	.	r11	.	.	r11	.	.	.	.	.
45	r12	r12	r12	r12	r12	r12	r12	r12	r12	r12	r12	r12	r12	s23	s24	s25	s26	s27	s28	s29	s30	.	r12	.	.	r12	.	.	.	.	.
46	r13	r13	r13	r13	r13	r13	r13	r13	r13	r13	r13	r13	r13	s23	s24	s25	s26	s27	s28	s29	s30	.	r13	.	.	r13	.	.	.	.	.
47	r15	r15	r15	r15	r15	r15	r15	r15	r15	r15	r15	r15	r15	r15	r15	r15	r15	r15	r15	r15	r15	.	r15	.	.	r15	.	.	.	.	.
48	r16	r16	r16	r16	r16	r16	r16	r16	r16	r16	r16	r16	r16	r16	r16	r16	r16	r16	r16	r16	r16	.	r16	.	.	r16	.	.	.	.	.
49	r17	r17	r17	r17	r17	r17	r17	r17	r17	r17	r17	r17	r17	r17	r17	r17	r17	r17	r17	r17	r17	.	r17	.	.	r17	.	.	.	.	.
50	r18	r18	r18	r18	r18	r18	r18	r18	r18	r18	r18	r18	r18	r18	r18	r18	r18	r18	r18	r18	r18	.	r18	.	.	r18	.	.	.	.	.
51	r19	r19	r19	r19	r19	r19	r19	r19	r19	r19	r19	r19	r19	r19	r19	r19	r19	r19	r19	r19	r19	.	r19	.	.	r19	.	.	.	.	.
52	r20	r20	r20	r20	r20	r20	r20	r20	r20	r20	r20	r20	r20	r20	r20	r20	r20	r20	r20	r20	r20	.	r20	.	.	r20	.	.	.	.	.
53	r21	r21	r21	r21	r21	r21	r21	r21	r21	r21	r21	r21	r21	r21	r21	r21	r21	r21	r21	r21	r21	.	r21	.	.	r21	.	.	.	.	.
54	r22	r22	r22	r22	r22	r22	r22	r22	r22	r22	r22	r22	r22	r22	r22	r22	r22	r22	r22	r22	r22	.	r22	.	.	r22	.	.	.	.	.
55	r24	r24	r24	r24	r24	r24	r24	r24	r24	r24	r24	r24	r24	r24	r24	r24	r24	r24	r24	r24	r24	.	r24	.	.	r24	.	.	.	.	.
